text,emotion
"WORLD WAR III: THE END GAME WAR

From Alexander Mercouris
59.8K subscribers

Russia Encircles Ukrainian Army in Donbass, Negotiates 'Humanitarian Convoys' with Kiev.

https://t.co/nUgPJHKeE4 &lt;- 3.2K likes

#UkraineConflict #UkraineCrisis #UkraineRussiaConflict #Ukraine #Russia",anger
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/44xz0zdsF7",anger
"#Putin considers the US his enemy. That's the ONE THING he's said that's true. If the truth could be told in #Russia, the people would KNOW it. THIS is the same shit Trump did since he came down that fool's gold escalator! He spouts more 💩 every day! https://t.co/zzsitG35GN",anger
"If @NATO « steps in » right now, we could be facing World War 3. If #Russia is not contained, they will seize #Ukraine, no matter the cost. 

Even a #nuclear meltdown.

Putin is a madman.

#UkraineRussiaWar #Zaporizhzhia #PutinWarCriminal",anger
"@SenMarkey Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #SafeAirliftUkraine #StopPutin",anger
"Defending #Taiwan is defending #America. After the chaotic withdrawal from #Afghanistan and #Russia’s invasion of #Ukraine, Taiwan is the test of American credibility. @mikepompeo https://t.co/S0Jzji1MF0",anger
#Eritrea: “#Ukraine is a sacrificial lamb of the West.” #Russia #RussianUkrainianWar,anger
"LOL, missing Apple, Google and Samsung #Russia will be left with Freedom Phone like tracker infested rebranded chinese spying crap phones... Even oligarchs posh daughters will have the Redmi note logo on their caviar dinner pictures :) https://t.co/27LZhkRGfh",joy
Fuck #NATO pact! Support to Russia from Serbs 🇷🇸🤍🇷🇺 #IStandWithRussia https://t.co/EOHi1VY2gV,anger
"#deadrussians #deadrussiansoldiers #MothersOfRussia #MothersForPeace #Putin sent your sons to the slaughter and invaded #Ukraine without provocation and merciful Ukraine are sparing many #russiansoldiers 
#RussianSoldiersStandDown #Now ❌️❌️❌️❌️❌️❌️❌️🇷🇺 https://t.co/QRB6zg9Afn",anger
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"'Russia's #NATO Enlargement Redlines' - #Ukraine Cable from 2008 written by #CIA director William J. Burns, then US ambassador to Moscow https://t.co/eJ2irVPrUx",joy
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/44xz0zdsF7",anger
I really do want to stay positive. So to end the Twitter feed for tonight: 390 babies were born in #Ukraine during these 9 days of war: 199 boys and 191 girls. #StandWithUkraine for our future https://t.co/gSWyZpzwhA,optimism
What part of the speech will Biden announce we are going to replace #oil from #Russia with oil from America?,optimism
"This is a problem. Entrepreneurs try to solve problems. Politicians like to say the same. In UK, how will entrepreneurs and politicians solve this problem?  #Russia #Oligarchs #UnitedKingdom #Ukraine #UnitedNstions @USStateDepartm2 @piersmorgan @BBCWorld @SkyNewsBreak https://t.co/HzuPOgVmLW",sadness
"Ukrainian born Kunis, and husband, Ashton Kutcher, have launched a GoFundMe campaign to raise $30 million to go toward relief efforts that help Ukrainian families displaced by Russia’s attack on the country.

https://t.co/l9fmYhwuX7
#DemocracyNotAutocracy 
#StandWithUkraine",optimism
I really do want to stay positive. So to end the Twitter feed for tonight: 390 babies were born in #Ukraine during these 9 days of war: 199 boys and 191 girls. #StandWithUkraine for our future https://t.co/gSWyZpzwhA,optimism
IMAGE of volunteers from #Belarus who have now joined the fight against the #Russian invasion of #Ukraine.#Russia #Putin #RussiaInvasion  #Ukraineunderattack #Putinwar #Ukrainian #PutinAtWar #RussianArmedForces  #Ukraineunderattack #Russianwarcrimes https://t.co/NT0Iqcc4vJ,anger
"@billmurphy It’s war now or bigger war later. Until #Putin is dead, this won’t stop.",anger
"From Paris based artist Julien Malland otherwise known as ""Seth""

Rue Buot, Paris

h/t @kazziekenned 

#StandWithUkraine 

Source : https://t.co/rXQReV02Zs https://t.co/jQqfDgm5XP",joy
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/9rqEbUaO9h",anger
A Ukrainian farmer pulls an abandoned Russian Tor-M2 SHORAD TELAR. #Ukraine #Russia https://t.co/tcnJnKlB5S,anger
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
"Shill your #NFT 🎨

Show collectors what you're made of!

♻️ Please retweet
 ♥️  Like
🧑‍🤝‍🧑 Follow and let's connect!

#Cryptocurrency #crypto #BTC #cardano #NFTs #polkadot #war #putin #Ethereum",joy
"I can host scientists from #Ukraine #Russia and #Belarus at @RWTH ...Get in touch with me if your field of research is close to Bioelectronics-Biomaterials-Neuroengineering! 
RT pls!",joy
#UkraineCrisis  invasion - Brilliant #tech and #science minds want to escape #PutinsWar #Russia. The U.S. should welcome them with open arms https://t.co/wJodIM4CpS,optimism
Twitter bans over 100 accounts that pushed “#IStandWithPutin” - NBC News https://t.co/FbAsCk1JB0,anger
"HOW TO HELP - just booked a Kiev AirBnb for 1 week, simply as a means of getting money directly into the hands of Kiev residents. It's really cheap and can make a small difference right now. Please share this idea #Ukraine #Russia #StopWarInUkraine #StopPutinNOW #UkraineRussiaWar https://t.co/7yQDLYRkph",optimism
"Washington wants WAR not peace. #Ukraine #RussianUkrainianWar #putin 

Putin vs. The World: From New Normal to New Narrative https://t.co/97GsdO05o1 via @YouTube",anger
"#Ukraine #UkraineRussia #worldwar3 #UkraineUnderAttack #RussiaUkraineWar #RussianUkrainianWar #Putin

With all the threats of violence personally against Putin, I'd be concerned that Russia or Russian sympathizers would try to kidnap US diplomats during in-person negotiations.",anger
"#Ukraine #UkraineRussia #worldwar3 #UkraineUnderAttack #RussiaUkraineWar

If assassination threats are going around, it's not improbable that kidnapping would also be on the table. Especially for all the warmongers out there. Such acts would certainly escalate the situation.",anger
"Radiation does not care which passport you have. Does not care if you are in #NATO or #EU.

We call for a #NoFlyZoneOverUkraine  because it is the only way to stop the upcoming crisis. https://t.co/PvSwOCt7Tz",anger
"#Putin ""death squads"" according to their Ukraine sources.  Smells like... 

#FakeNews https://t.co/fKczNQQi2U",anger
@TomTugendhat @OzKaterji Pepsi Trump has failed to seize Russian assets in plain sight. Dirty laundered Russian money got value for money when bought corrupt politicians and parties. #Putin #Ukraine #Russia #Belarus #peston #PepsiTrump #Tories #corruption @IoWBobSeely #London #laundromat,anger
"@lapatina_ Ukranians were telling Russia news of the #UkraineRussiaWar via reviews for Moscow tourist attractions like The Kremlin. This is now banned. An alternative is to use TripAdvisor forums to spread the word. #SlavaUkraini 🇺🇦
https://t.co/8Jn3xv9UUY https://t.co/g78lPXYWPq",anger
"#Kharkiv, #Ukraine’s second largest city, with 1.5 million people, three metro lines, universities, IT hubs, factories and an international airport. 

Putin’s barbaric war against the Ukrainian people. And Kharkiv is predominantly Russian-speaking, yet #Russia does this. https://t.co/rZDh0bXX3P",anger
#Eritrea: “#Ukraine is sadly a victim and has been scape-goated in the West’s overarching scheme of ‘tightening the noose on #Russia’”. #RussianUkrainianWar,sadness
"Creative protesting from #Finland: dog-owners are suggested to gather the dog shit after them and leave the litter at the #Russia'n embassy. (This is a local recycling FB-group, close to the embassy.) Useful idea to other countries as well #ukraine #solidaritywithukraine https://t.co/55SeNXLMjH",optimism
"The illegal and unprovoked invasion of Ukraine is continuing. 
 
The map below is the latest Defence Intelligence update on the situation in Ukraine - 04 March 2022
 
Find out more about the UK government's response: https://t.co/94E5eEDqiw

🇺🇦 #StandWithUkraine 🇺🇦 https://t.co/plOXiWOWvA",anger
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/9rqEbUaO9h",anger
The Entire staff of the Russian TV channel “the rain” resigned during a live stream with last words: “no war” and then played “swan lake” ballet video (just like they did on all USSR tv channels when it suddenly collapsed) #Ukriane #UkraineRussiaWar #Russia #StandWithUkraine️ https://t.co/o4LzUqnWLc,anger
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/D2ayMJtYHs",anger
"This is the truth all NATO and western powers need to recognise, they dragged #Ukraine into war by underestimating #Russia and undermining the threat they posed to Russia's national security#istandwithrussia #UkraineRussianWar #Russian #RussianUkrainianWar #RussiaUkraine #NFTs https://t.co/27z9vP8c3E",anger
Switzerland Says It Will Freeze Russian Crypto Assets: Report (via @decryptmedia) | #BTC #RUSSIA #ETH #CRYPTO Not your keys not your coins folks! https://t.co/Y5OkxlYcbM,anger
I wish to know the world's view on this horrific #UkraineRussiaCrisis should #NATO close they skys even if it means war. Please retweet and add your views. Interested in hearing all views and why.,anger
It is a war crime to attack a nuclear power plant. Putin's shelling of Europe's largest nuclear plant takes his reign of terror one step further. #TheHague #Zaporizhzhia #StandwithUkraine,anger
"@SenStabenow Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #SafeAirliftUkraine #StopPutin",anger
@SenWarren  Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. Provide #SafeAirliftUkraine #StopPutin,anger
"He didn't maintain his military and met some badass warriors that weren't taking the shit.
#GloryToUkraine 
#StandWithUkraine https://t.co/umBbrJa6XD https://t.co/TqXSnhCvCF",anger
"While we all mourn and #StandWithUkraine, we cannot put boots on the ground and give #Putin a reason for WWIII.
Putin installed tRump in 2016, then tried to obstruct the Biden presidency knowing Biden would strengthen NATO and its allies.
tRump tried to destroy it.",anger
"In Kherson City. Russian Troops are setting boobytraps around official buildings and some areas.
#Ukraine 
#Russia https://t.co/Zo9wXqgyxo",anger
"U.S. President Joe Biden meets with #Finnish President Sauli Niinisto at the White House

#Finland's possible accession to #NATO is likely to be the main topic of discussion https://t.co/cKTMQcPssX",joy
[Graphic] This is what the city of Gostomel looks like right now. Dead bodies everywhere. #ukraine #UkraineRussianWar #russia https://t.co/ehgpxrwl9i,sadness
"""If you do not have the power to close the skies, then give me planes!"" 🇺🇦 ❤️🙏 

#PrayForUkraine #zelenskyy #HeroesOfUkraine #KillPutin #GloryToUkraine @ZelenskyyUa https://t.co/wrgCke6zcf",optimism
"This from the great #AtillatheStockbroker. 

I agree with him 100% &amp; have stated similarly myself. 

#Putin #antifascism #Ukraine https://t.co/DfErsDsnA1",optimism
"@SenStabenow Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #SafeAirliftUkraine #StopPutin",anger
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"⚡️Kering announced the closure of boutiques of its brands in #Russia

The company owns luxury brands such as Gucci, Balenciaga, Bottega Veneta, Saint Laurent, Alexander McQueen, Brioni and Pomellato.",sadness
@ZelenskyyUa Enough talk #UN #NATO #closetheskies,sadness
"@CheriJacobus we are suffering the effects of the 4 years in which #Trump attacked #NATO &amp; gave #Putin assurances that there would be no repercussions for any actions against #Ukraine, that is why #Putin had the gall to try to coerce the rest of the world threatening if Ukraine became member",anger
"🌎SAY NO TO WAR🌎WORLD WITH UKRAINIAN💚RUSSIAN❤️PEOPLE🧑‍🤝‍🧑
Nothing justifies a war between two COUNTRIES, who suffers is the population... 
#FuckPutin #PutinWarCriminal  #Ukraine #Russia #RussianUkrainianWar #Kiev #UkraineOnFire #EUA #Zelenskyy #NATO #EUA #WorldWithUkraine #NoToWar https://t.co/1SPeKsAP9e",anger
#Belgrade (Serbia) is the only city in the world where mass rallies in support of #Russia take place https://t.co/oNB6H1Y1ue,joy
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/7AIXHup0wY",anger
#Eritrea: “#Ukraine is a sacrificial lamb of the West.” #Russia #RussianUkrainianWar,anger
"We are watching in real time what happens when a brutal dictator thinks he can steamroll a democracy.

The world won’t let him. Putin is a small man who gets smaller by the day. I #StandWithUkraine. 🇺🇸🇺🇦",anger
Friday Night Lights @TheWienerCircle #putin https://t.co/Al3dcNOHLa,joy
"2,000 arrests across protests in 53 Russian cities yesterday, but they’re out again tonight, undeterred. 

Including demonstrations in #Putin’s home city, St Petersburg. 

Brave and amazing. 

This conflict is not with the Russian people. 
#Russia #Ukraine #NoWar 🇺🇦",optimism
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/7AIXHup0wY",anger
"Historic day at the #UNGA: a record 141 countries sent a clear message to reject Russia's aggression. With only 4 countries voting no, Putin is more isolated than ever. Let's show him that the world is watching and won't stay silent. #StandWithUkraine https://t.co/xQU7TSGadP",optimism
"#God Bless #Zelenskyy today the destruction and loss of civilian life is totally devastating,he pleads for the no fly zone .
He stated ;you can’t pay us in litres of fuel when we paid in litres of our blood.  💔🙏🇺🇦🌍😇",sadness
"@jonsoltz So who will stand up first &amp; stop the #Russian slaughter &amp; genocide of the #Ukraine? Will it be the #EU or #NATO or the #USA or All together? If Anyone thinks #Putin goal is not to invade other Countries next is Delusional! 
#PutinWarCrimes 
#PutinIsaWarCriminal",anger
"Chris Hedges: #War profiteers are fueling this crisis

#Ukraine #Україна #UkraineRussiaWar #UkrainianCrisis #RussiaUkraine #Russia #Россия #PutinsWar 
https://t.co/XF7AfQiM2d",anger
The West's response to #Russia-#Ukraine #Conflict so far! -John #Mearsheimer https://t.co/BxkDXSmVos,anger
"Companies that refused to work in #Russia because of the invasion of #Ukraine

Thank you for support!💙💛 https://t.co/YW2MkXZst7",joy
#Russia and #Ukraine are both Christian countries and instead of fixing that problem Christian missionaries are busy fixing issues of Brahminical patriarchy.,anger
"""Winter on Fire: #Ukraine's Fight for #Freedom"" - #MustWatch documentary @Netflix - Watch an interview with director Evgeny Afineevsky on his Oscar nominated film here. #StandWithUkraine https://t.co/IG08PUHtrV https://t.co/17fIbhbzDO",joy
"@KyivIndependent Zelensky’s moral indignation regarding NATO’s refusal to implement no-fly zone:
“Every person who dies from today will die because of you.""

#NATO #UkraineRussiaWar #Ukraine #UkraineWar #Ukrainian #Zelenskyy #PrayingForUkraine @AVindman @UKRinUN https://t.co/hBgDO41XqF",anger
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
"Another logo

Done and dusted
Photoshop #KhudaSeDar #Wallpapers #Fiverr #fiverrgigs #Ukraine #Russia #WizKid𓃵 #Finesse #Buju #AyraStarrRemixChallenge #zinoleesky https://t.co/EHZXS0OVlp",joy
A periodic reminder of #Trump's relationship with #Putin. The @GOP was 100% behind this. https://t.co/PVA1Ghsabw,optimism
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
"❗️The head of Aeroflot, Mikhail Poluboyarinov, has left his post and probably #Russia as well

Earlier, the head of Pobeda Airlines, Andrei Kalmykov, also left his post. On March 4, he published a farewell letter to the employees. https://t.co/RUIyKqGIrU",sadness
"This is the moment when a Croatian military attaché in #Moscow declines to take a note from the Russian MoD in which #Russia is claiming that there are, allegedly, 200 Croatians fighting in #Ukraine. Of course, on Ukraine’s side. 

#Croatia #StandWithUkraine️

 🇭🇷♥️🇺🇦 https://t.co/I3V3J7l9cB",anger
"'Russia's #NATO Enlargement Redlines' - #Ukraine Cable from 2008 written by #CIA director William J. Burns, then US ambassador to Moscow https://t.co/eJ2irVPrUx",joy
School strike week 185. #FridaysForFuture #ClimateStrike #PeopleNotProfit #StandWithUkraine https://t.co/a0EVWg68eJ,anger
Has anyone set up a #gofundme for reward money to hire someone to arrest #Putin?,anger
So what are the F1 Russian drivers going to do when they are barred from entering countries with sanctions and travel restrictions??? #F1 #StandWithUkraine #BanRussia @F1 @HaasF1Team,anger
"@SenStabenow @POTUS Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #SafeAirliftUkraine #StopPutin",anger
"Growing indications that #Russia faces some kind of imminent supply crisis in #Ukraine 

If this is the case we could see a dramatic escalation of attacks over the new 72 hours",anger
"We continue to be saddened by the news coming out of Ukraine. As part of our continued support for those affected, the Aldi group have committed to a further €5 million for established aid organisations ensuring help reaches those that need it most. #STANDWITHUKRAINE https://t.co/vhlw1c9hn2",sadness
"Ashamed that iconic American companies like Coca Cola and Mcodnalds don’t support freedom and democracy. They are still doing business in Russia, helping fund the slaughter of civilians in Ukraine. #BoycottMcDonalds #BoycottCocaCola #SlavaUkraini 🇺🇦",anger
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
Better mediator than #NATO 😅 https://t.co/tqwaqHcJzz,joy
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/Y5ewjpj0tC",anger
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
"Samsung Bans the supply of it's phones and chips to Russia with immediate effect.
#UkraineRussianWar #RussiaUkraine #Ukraine #Russia https://t.co/zDnGysoTen",anger
"Dozens of major multinational firms have left #Russia or announced divestment from Russian assets / minimising commercial footprint in Russia in the past 10 days.  

This is an unprecedented #business exodus: https://t.co/8FQgVhkG8Y",sadness
"#Russia #Ukraine 🇷🇺🇺🇦: #DPR/#DNR Forces with Mosin-Nagant M91/30 rifles &amp; and an interesting PU scope in #Donetsk, #Donbas/#Donbass.

The PU scope seems to be made in Plant NKV #357 (""Progress"") in #Leningrad in 1941 —same year the war between #Nazi Germany and the #USSR began. https://t.co/pyY5hTWsoi",joy
"U.S. President Joe Biden meets with #Finnish President Sauli Niinisto at the White House

#Finland's possible accession to #NATO is likely to be the main topic of discussion https://t.co/cKTMQcPssX",joy
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/Y5ewjpj0tC",anger
"👊 UFC 272: COVINGTON VS. MASVIDAL LIVE WATCH-ALONG EVENT #ufc272 #covingtonMasvidal #MMA @dyingbreed18 #wearelive #war #EdsonBarboza   
  #UFC #UFCVegas @Thamiresmma @ufclatina @NjmmaINSIGHT @danascumsack @JoshThrashMetal join us &amp; world famous chat!
   https://t.co/Xwe63b6ApR",joy
"#Truth for #TruePatriots.
#Putin is NOT a #Globalist. He is helping #WeTheFree 

#TWGRP https://t.co/dqUyKoGRTo",optimism
#Russia is the new #NorthKorea. No free press &amp; 15 yrs in jail for reporting #War in #Ukraine. #Putin is now #KimJongUn. Nightfall again &amp; the people in Ukraine &amp; Pres. #Zelenskyy are praying to see the dawn. Each day the bombing gets worse. Will Putin stop? No! https://t.co/qngCfeogux,anger
"By order of Gov. Greg Gianforte, the Ukrainian flag is flown outside the Montana State Capitol Friday. The governor posted on Twitter, ""In Montana, we #StandWithUkraine."" https://t.co/zdheVMiPxo",optimism
@Kasparov63 Pepsi Trump has failed to seize Russian assets in plain sight. Dirty laundered Russian money got value for money when bought corrupt politicians and parties. #Putin #Ukraine #Russia #Belarus #peston #PepsiTrump #Tories #corruption @IoWBobSeely #London #laundromat,anger
"Finnish President @niinisto:
Finland and USA will begin a serious process to deepen their security and defense co-operation.
Biden confirmed that #NATO open doors policy is still active.",optimism
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/aHZg2UKXHb",anger
"While we all mourn and #StandWithUkraine, we cannot put boots on the ground and give #Putin a reason for WWIII.
Putin installed tRump in 2016, then tried to obstruct the Biden presidency knowing Biden would strengthen NATO and its allies.
tRump tried to destroy it.",anger
"Ukraine will not make any concessions that could undermine our struggle for territorial integrity. 
It was stated by the adviser to the head of the President's Office Mykhailo Podoliyak during a briefing in Lviv. #stoprussia #stopputinnow #stoprussianaggression #StandWithUkraine https://t.co/S99ollMND7",anger
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
Putin is a criminal. Western world should not only sanction Russian economy. It should completely isolate Russian economy.  #StandWithUkraine 🇺🇦,anger
"Wake up #Russian #soldiers. You are killing each other because some old idiot #Putin, that hates the world because nobody likes him, told you too. You're supposed to rebel against the old, &amp; build new, your own, better world. #StopPutinNOW #StandWithUkraine️ #StopPutin #Ukraine",anger
"#OTD in 1999 #NATO countries, in violation of international law, began bombing of #Yugoslavia #NATOaggression #NeverForget https://t.co/wOz8AhyTuP",anger
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"@Ironhorse76 @ZelenskyyUa @GOP @HouseGOP @SenateGOP Let’s do this! Ok we say it a lot…but still not enough.
#SlavaUkraini",optimism
"Just mentioning, McDonald's, Coca-Cola, and Pepsi are still happily doing business in #Russia. Perhaps a good idea to #BoycottRussia before customers decide to #BoycottCocaCola #BoycottMcDonalds #BoycottPepsi",anger
I'm reading a lot of Cold War era reasoning about the necessity of a buffer between NATO allies and the Russian Federation. I call bullshit. #Russia wants #Ukraine black sea natural gas reserves and no gas pipeline fees. Too much biz with Europe for Cold War era delusions.,anger
"@SenGaryPeters @Morning_Joe @senrobportman Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #SafeAirliftUkraine #StopPutin",anger
"Combat at #Ukrainian #NuclearPowerPlant highlights risk of a #radioactive disaster from the #RussianInvasion.

#Ukraine #Україна #UkraineRussiaWar #UkrainianCrisis #RussiaUkraine #Russia #Россия #PutinsWar #Zaporizhzhia
https://t.co/232CMc3MgB",anger
"Today we have once again heard lies about how Russian troops attacked the Zaporizhzhia Nuclear Power Plant, it's all part of an unprecedented campaign of lies &amp; disinformation against Russia -  Russian Federation representative at UN

#RussiaUkraine",anger
"Let’s face it and be real, #Putin has the west by the balls. The west sacrifices land and people at his alter without remorse. He is not scared of the west, he is empowered by the west because of inaction. Truly sickening. #UkraineRussianWar #NATO",anger
"66
⚠️Russian/Ukrainian Activity News⚠️
#Ukraine #Russia #UkraineRussie #RussiaUkraine #Ukraina #UN #emergency #RussiaUkraineConflict #Ukrainian #russiaukrainewar

Russian Protests 

⚠️ https://t.co/aHZg2UKXHb",anger
Black social media documents how not to approach global political power ... https://t.co/GcqD3Pl8lY #Ukraine #Russia #globalpolitics,anger
"In #Russia, a prominent Kremlin-close political analyst suggested that the Russian military operation might finish “beyond Ukrainian borders”. 

He said #Germany “will be never forgiven for allowing weapons to be sent to #Ukraine”.

@GermanyDiplo and @NATO https://t.co/5oAgQ6RNrn",anger
"📌BREAKING: Cited the “atrocious crimes” of Russia’s invasion and its breach of the Geneva Conventions, Ukraine has asked the Internet Corporation for Assigned Names and Numbers to kick Russia off the internet. 

📌Please R/T if you support.

-Thank you

#StandWithUkraine 🇺🇦",anger
"This is not the edition of Mundus Brief we wanted to write. Neither is it the edition that we expected to write. But it is the edition that needs to be written, and like many others, we are addressing the realities in front of us. https://t.co/gI1Polbvcv #sweden #StandWithUkraine",optimism
"Right now in Prague, this is a stand for Ukraine. Slava Ukraini!
#Ukraine #Russia https://t.co/Az16oc3aKv",joy
"⚡️ Bellingcat investigator Christo Grozev says that #Russia has resources left for the war until Sunday, after which they will collapse.

Also next week, Russia is facing sanctions, the scale of which “we have not seen before”, and they will also affect Putin",anger
"🗣️Vlad the yesterday's toxic so called ""masculinity"" #Zelenskyy rewriting the role of male hero &amp; showing the world the difference bet. the command of big, toxic personalities &amp; the leadership of more reasonable [real] men
#OVFAF #ONEV1 #DemVoice1 #DemCast
https://t.co/pp9uoVv7ik",anger
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"Growing indications that #Russia faces some kind of imminent supply crisis in #Ukraine 

If this is the case we could see a dramatic escalation of attacks over the new 72 hours",anger
"@SenGaryPeters Ukraine needs weapons and humanitarian assistance to defend against #Putin. Stop innocent civilian deaths. @POTUS, provide #SafeAirliftUkraine #StopPutin",anger
"Has he gone yet? #JohnsonOut40 #NHSNotForSale #StandWithUkraine 

Cartoon credit @briancartoon https://t.co/uL5BnFZPXo",sadness
"If #Russia has missiles, guns, tanks as its weapons then #Ukraine and West has ""propaganda"" as their most powerful weapon!!! 
#UkraineRussianWar",anger
"#Prague tonight, during #Zelenskyy’s video link address to European cities.

Freedom, EU solidarity and peace. 

Unbreakable, unshakable, and utterly beautiful.  
🇪🇺🤝🇺🇦
#StandWithUkraine️ #StopPutin https://t.co/qZ422nKaml",joy
"So while 1000,s of people are being killed in this war in #Ukraine… all the #USA, #UK, #Europe and many other countries do is talk talk and talk… stop buying #oil and #gas from #Russia now… that would help in a big way… Actions Speak Louder Than Words… Wake Up…",anger
"Shocking destruction caused shelling in the town of #Borodyanka.It's in ruin

#Kiev #Kyiv #Ukrainians #UkraineWillResist #ucraine #UkraineWar #War #UkraineUnderAttaсk
#Russia #RussianWar #News https://t.co/E2dvtkTMWc",anger
"Companies that refused to work in #Russia because of the invasion of #Ukraine

Thank you for support!💙💛 https://t.co/3IONLRswYa",joy
"#Drone #Video Shows Extent Of Damage In #Ukraine's #Borodyanka, 60 kilometres northwest of capital #Kyiv.
""Borodyanka was bombarded on Wednesday night, as Russian forces moved inside Ukraine. The shelling continued for two days.""
https://t.co/YWNraQctoe
#UkraineWar #RussiaUkraine",anger
"Growing indications that #Russia faces some kind of imminent supply crisis in #Ukraine 

If this is the case we could see a dramatic escalation of attacks over the new 72 hours",anger
"Zelensky condemns NATO decision to rule out Ukraine no-fly zone, reports AFP News Agency

#RussiaUkraine",anger
